composition_id,title_id,type,tone,even_odd,group_id
93785,28147,Alleluia,,,41557
96673,28162,Alleluia,,,41572
96686,28175,Alleluia,,,41585
96393,29058,Alleluia,,,43027
79030,7737,Canticle,1,both,34831
76737,525,Canticle,1,both,33772
88321,525,Canticle,1,both,38848
92976,525,Canticle,1,both,41294
63887,5169,Canticle,1,both,34858
92975,5169,Canticle,1,both,41293
88249,7737,Canticle,1,both,38806
88313,7737,Canticle,1,both,38840
86111,7737,Canticle,1,even,36383
55424,525,Canticle,1,even,24347
58299,525,Canticle,1,even,25576
65051,525,Canticle,1,even,28448
82641,525,Canticle,1,even,36283
84257,525,Canticle,1,even,37010
84338,525,Canticle,1,even,37044
86014,525,Canticle,1,even,37796
55361,525,Canticle,1,even,45125
6191,4734,Canticle,1,even,6191
55477,5169,Canticle,1,even,24346
55360,5169,Canticle,1,even,24470
55423,5169,Canticle,1,even,24471
56946,7737,Canticle,1,even,25053
70547,7737,Canticle,1,even,30654
73454,7737,Canticle,1,even,31941
76728,7737,Canticle,1,even,33763
78074,7737,Canticle,1,even,34402
80762,7737,Canticle,1,even,35462
82789,7737,Canticle,1,even,36385
69099,7737,Canticle,1,even,30177
72085,7737,Canticle,1,even,30653
82014,7737,Canticle,1,even,35938
82006,7737,Canticle,1,even,35946
82005,7737,Canticle,1,even,35947
81996,7737,Canticle,1,even,35970
81995,7737,Canticle,1,even,35971
82026,7737,Canticle,1,even,35979
82024,7737,Canticle,1,even,35981
94644,7737,Canticle,1,even,41991
98147,7737,Canticle,1,even,43471
98150,7737,Canticle,1,even,43773
98154,7737,Canticle,1,even,43783
85580,7737,Canticle,1,even,37605
99689,13322,Canticle,1,even,44546
54963,18256,Canticle,1,even,24317
54967,18260,Canticle,1,even,24321
54970,18263,Canticle,1,even,6190
55425,18269,Canticle,1,even,24348
55362,18269,Canticle,1,even,24469
92997,18269,Canticle,1,even,41290
55426,18275,Canticle,1,even,24374
55742,18395,Canticle,1,even,24320
75071,23241,Canticle,1,even,32833
79137,7737,Canticle,1,odd,11167
99375,7737,Canticle,1,odd,11167
86109,7737,Canticle,1,odd,36383
99360,7737,Canticle,1,odd,41199
86010,5169,Canticle,1,odd,41199
92996,4734,Canticle,1,odd,41295
86295,5169,Canticle,1,odd,2656
84258,5169,Canticle,1,odd,22314
99714,5169,Canticle,1,odd,24837
57579,5169,Canticle,1,odd,25247
58291,5169,Canticle,1,odd,25568
65050,5169,Canticle,1,odd,28447
76736,5169,Canticle,1,odd,33771
82693,5169,Canticle,1,odd,36275
84337,5169,Canticle,1,odd,37043
88305,5169,Canticle,1,odd,38832
99967,5169,Canticle,1,odd,44670
3111,7737,Canticle,1,odd,3111
5344,7737,Canticle,1,odd,5344
5640,7737,Canticle,1,odd,5640
8358,7737,Canticle,1,odd,8358
11321,7737,Canticle,1,odd,10494
11332,7737,Canticle,1,odd,10501
34514,7737,Canticle,1,odd,17885
49750,7737,Canticle,1,odd,20297
49781,7737,Canticle,1,odd,20306
62341,7737,Canticle,1,odd,27097
63436,7737,Canticle,1,odd,27562
63596,7737,Canticle,1,odd,27665
65049,7737,Canticle,1,odd,28446
77386,7737,Canticle,1,odd,32944
75650,7737,Canticle,1,odd,33228
75697,7737,Canticle,1,odd,33252
76720,7737,Canticle,1,odd,33755
76775,7737,Canticle,1,odd,33791
77437,7737,Canticle,1,odd,34063
77598,7737,Canticle,1,odd,34154
78288,7737,Canticle,1,odd,34507
80754,7737,Canticle,1,odd,35453
81986,7737,Canticle,1,odd,35966
88109,7737,Canticle,1,odd,38727
88250,7737,Canticle,1,odd,38808
88292,7737,Canticle,1,odd,38816
88297,7737,Canticle,1,odd,38824
92879,7737,Canticle,1,odd,41219
97441,7737,Canticle,1,odd,43464
82004,7737,Canticle,1,odd,35948
50055,7737,Canticle,1,odd,22322
94637,7737,Canticle,1,odd,41983
98142,7737,Canticle,1,odd,43465
85581,7737,Canticle,1,odd,37604
62670,7737,Canticle,1,odd,27230
76435,13322,Canticle,1,odd,33648
64801,13322,Canticle,1,odd,28328
99726,18269,Canticle,1,odd,24852
98168,18269,Canticle,1,odd,43822
100379,525,Canticle,1,,34831
99972,525,Canticle,1,,3391
57582,525,Canticle,1,,10376
50545,525,Canticle,1,,16714
79364,525,Canticle,1,,18560
99713,525,Canticle,1,,24838
63888,525,Canticle,1,,27869
74928,525,Canticle,1,,32753
86294,525,Canticle,1,,37924
101128,525,Canticle,1,,45255
99722,4734,Canticle,1,,24853
101151,4734,Canticle,1,,45274
50546,5169,Canticle,1,,16713
79368,5169,Canticle,1,,18561
74927,5169,Canticle,1,,32752
100377,5169,Canticle,1,,44844
2034,7737,Canticle,1,,2034
3108,7737,Canticle,1,,3108
3501,7737,Canticle,1,,3501
5808,7737,Canticle,1,,5808
88368,7737,Canticle,1,,6938
6939,7737,Canticle,1,,6939
88370,7737,Canticle,1,,6940
6960,7737,Canticle,1,,6960
88369,7737,Canticle,1,,6967
6976,7737,Canticle,1,,6976
11640,7737,Canticle,1,,10640
12927,7737,Canticle,1,,11119
12871,7737,Canticle,1,,11981
17720,7737,Canticle,1,,12537
19786,7737,Canticle,1,,13257
19794,7737,Canticle,1,,13265
19942,7737,Canticle,1,,13352
20908,7737,Canticle,1,,13516
20913,7737,Canticle,1,,13524
21481,7737,Canticle,1,,15453
30110,7737,Canticle,1,,16712
30951,7737,Canticle,1,,16810
34518,7737,Canticle,1,,17889
59740,7737,Canticle,1,,19643
39886,7737,Canticle,1,,19645
40972,7737,Canticle,1,,20066
45196,7737,Canticle,1,,21425
51411,7737,Canticle,1,,22685
51550,7737,Canticle,1,,22745
52282,7737,Canticle,1,,22964
52779,7737,Canticle,1,,23178
57801,7737,Canticle,1,,25324
58633,7737,Canticle,1,,25746
64225,7737,Canticle,1,,28035
64835,7737,Canticle,1,,28345
65087,7737,Canticle,1,,28474
67541,7737,Canticle,1,,29467
67844,7737,Canticle,1,,29627
68471,7737,Canticle,1,,29889
72601,7737,Canticle,1,,31509
73688,7737,Canticle,1,,32063
74929,7737,Canticle,1,,32754
75271,7737,Canticle,1,,32959
77657,7737,Canticle,1,,34183
77745,7737,Canticle,1,,34240
81597,7737,Canticle,1,,35801
82148,7737,Canticle,1,,36042
82429,7737,Canticle,1,,36168
89199,7737,Canticle,1,,39325
89194,7737,Canticle,1,,39333
89204,7737,Canticle,1,,39341
89213,7737,Canticle,1,,39351
92471,7737,Canticle,1,,41070
96409,7737,Canticle,1,,43044
96792,7737,Canticle,1,,43210
99791,7737,Canticle,1,,44576
101073,7737,Canticle,1,,45225
87948,7737,Canticle,1,,37891
73219,7737,Canticle,1,,31832
