id,language
1514,English
1515,English
1516,English
1517,English
1519,English
1520,English
1523,English
1524,English
1525,English
1526,English
1527,English
1528,English
1529,English
1530,Latin
1532,Latin
1535,Latin
1536,Latin
1537,Latin
1538,Latin
1539,Latin
1540,Latin
1541,Latin
1542,Latin
1544,Latin
1545,Latin
1547,Latin
1549,Latin
1550,Latin
1551,textless
1552,textless
1553,Latin
1554,Latin
1555,Latin
1556,Latin
1558,Latin
1561,Latin
1562,Latin
1564,Latin
1565,Latin
1566,Latin
1570,Latin
1571,Latin
1573,Latin
1575,Latin
1576,Latin
1577,Latin
1578,Latin
1579,Latin
1580,Latin
1581,Latin
1582,Latin
1583,Latin
1584,Latin
1585,Latin
1586,Latin
1587,Latin
1589,Latin
1590,Latin
1592,Latin
1593,Latin
1594,Latin
1595,Latin
1596,Latin
1597,Latin
1599,Latin
1602,Latin
1604,Latin
1605,Latin
1606,Latin
1607,Latin
1608,Latin
1609,Latin
1612,Latin
1613,Latin
1614,Latin
1615,Latin
1616,Latin
1618,Latin
1619,Latin
1622,Latin
1623,Latin
1624,Latin
1627,Latin
1628,Latin
1630,Latin
1631,Latin
1632,Latin
1633,Latin
1634,Latin
1635,Latin
1637,Latin
1639,Latin
1640,Latin
1641,Latin
1642,Latin
1643,Latin
1644,Latin
1645,Latin
1646,Italian
1647,Latin
1648,Latin
1652,Latin
1653,Latin
1655,Latin
1660,Latin
1661,Latin
1662,Latin
1665,Latin
1666,Latin
1667,Latin
1668,Latin
1669,Latin
1670,Latin
1671,Latin
1672,Latin
1673,Latin
1674,Latin
1675,Latin
1676,Latin
1677,Latin
1678,Latin
1679,Latin
1680,Latin
1681,Latin
1682,Latin
1684,Latin
1685,Latin
1686,Latin
1688,Latin
1689,Latin
1690,Latin
1692,Latin
1693,Latin
1694,Latin
1695,Latin
1697,Latin
1698,Latin
1699,Latin
1703,Latin
1704,Latin
1705,Latin
1706,Latin
1707,Latin
1708,Latin
1709,Latin
1710,Latin
1711,Latin
1712,Latin
1713,Latin
1714,Latin
1715,Latin
1716,Latin
1717,Latin
1718,Latin
1719,Latin
1721,Latin
1723,Latin
1724,Latin
1725,Latin
1726,Italian
1727,Latin
1728,Latin
1729,Latin
1730,Latin
1731,Latin
1732,Latin
1734,Latin
1735,Latin
1736,Latin
1738,Latin
1740,Latin
1741,Latin
1742,Latin
1743,Latin
1744,Latin
1745,Latin
1746,Latin
1748,Latin
1757,Latin
1758,Latin
1759,Latin
1761,Latin
1762,Latin
1763,Latin
1764,Latin
1769,Latin
1770,Latin
1775,Latin
1777,Latin
1778,Latin
1779,Latin
1781,Latin
1784,Latin
1785,Latin
1786,Latin
1787,Latin
1789,Latin
1791,Latin
1792,French
1794,Latin
1796,Latin
1797,German
1798,German
1799,German
1800,Latin
1801,Latin
1802,Latin
1804,Latin
1805,Latin
1807,Latin
1808,German
1809,German
1810,Latin
1812,Latin
1813,German
1814,Latin
1815,Latin
1816,Latin
1817,Latin
1818,Latin
1819,Latin
1821,Latin
1822,Latin
1827,Latin
1829,Latin
1830,Italian
1832,Latin
1833,Latin
1834,Latin
1835,Latin
1836,Latin
1837,Latin
1839,Latin
1840,Latin
1842,Latin
1843,Latin
1850,Latin
1851,Latin
1852,Latin
1853,Latin
1854,Latin
1855,Latin
1856,Latin
1859,Latin
1860,Latin
1861,Latin
1862,Latin
1863,Latin
1864,Latin
1866,Latin
1867,Latin
1868,Latin
1869,Latin
1870,Latin
1873,Latin
1874,Latin
1875,Latin
1877,Latin
1880,Latin
1881,Latin
1884,Latin
1885,Latin
1887,Latin
1889,Latin
1890,Latin
1891,Latin
1893,Latin
1894,Latin
1902,Latin
1903,Latin
1904,Latin
1905,Latin
1906,Latin
1908,Latin
1910,Latin
1911,Latin
1912,Latin
1913,Latin
1914,Latin
1915,Latin
1918,Latin
1919,Latin
1922,Latin
1923,Latin
1924,Latin
1925,Latin
1927,Latin
1928,Latin
1929,Latin
1930,Latin
1932,Latin
1933,Latin
1935,Latin
1936,Latin
1937,Italian
1939,Latin
1940,Latin
1941,Latin
1943,Latin
1944,Latin
1945,Latin
1946,Latin
1947,Latin
1948,Latin
1949,Latin
1950,Latin
1951,Latin
1953,Latin
1954,Latin
1955,Latin
1956,Latin
1957,Latin
1958,Latin
1959,Latin
1960,Latin
1961,Latin
1962,Latin
1963,Latin
1964,Latin
1965,Latin
1967,Latin
1969,Latin
1972,Latin
1973,Latin
1976,Latin
1977,Latin
1978,Latin
1979,Latin
1983,Latin
1985,Latin
1986,Latin
1987,Latin
1988,Latin
1989,Latin
1991,Latin
1992,Latin
1993,Latin
1994,Italian
1996,Latin
1997,Latin
1998,Latin
1999,Latin
2000,Latin
2001,Latin
2002,Latin
2003,Latin
2004,Latin
2005,Latin
2006,Latin
2007,Latin
2008,Latin
2009,Latin
2010,Latin
2012,Latin
2013,Latin
2014,Latin
2018,Latin
2019,Latin
2021,Latin
2023,Latin
2024,Latin
2025,Latin
2026,Latin
2027,Latin
2029,Latin
2031,Latin
2032,Latin
2033,Latin
2034,Latin
2035,Latin
2036,Latin
2037,Latin
2040,Latin
2041,Latin
2042,Latin
2043,Latin
2044,Latin
2045,Latin
2046,Latin
2047,Latin
2048,Latin
2050,Latin
2051,Latin
2053,Latin
2054,Latin
2056,Latin
2058,Latin
2059,Latin
2062,Latin
2063,Latin
2064,Latin
2065,Latin
2070,Latin
2071,Latin
2072,Latin
2074,Latin
2075,Latin
2076,Latin
2077,Latin
2079,Latin
2080,Latin
2081,Latin
2082,Latin
2084,Latin
2085,Latin
2086,Latin
2087,Latin
2088,Latin
2089,Latin
2090,Latin
2091,Latin
2092,Latin
2093,Latin
2094,Latin
2095,Latin
